customer_id,full_name,dob,gender,phone_number,email,address,pan_number,aadhaar_number,account_number,account_type,bank_branch,ifsc_code,kyc_verified
CUST118510,Widisha Toor,1977-06-20,Male,+915759160,ghayer@example.org,"930
Bahl, Saharsa, Bihar - 609068",MJIFX7686Z,673329629876,371515010318,Salary,Aurangabad - Sarin Chowk,JWLD206080,False
CUST339093,Charan Agrawal,1979-12-20,Female,9411697698,vihaanbatta@example.org,"77, Venkatesh Path, Navi Mumbai, Telangana - 831671",DQMKB6244D,155993448135,3842203492887,Savings,Deoghar - Savant Road,NSKE637285,True
CUST303207,Upma Balay,1956-11-21,Other,0277219870,deshpandeeshana@example.org,"81, Buch Circle, Sri Ganganagar, Tripura - 312627",ZAPNJ4527S,029915016439,50941565606654,NRI,Jammu - Agarwal Ganj,QCLQ686233,False
CUST260095,Kamya Joshi,1993-08-13,Other,+913556776,ebiswas@example.com,"00/321, Tara Circle, Asansol, Tripura - 544820",BCPOS1881L,160558349542,97398518084387,Savings,Karimnagar - Sachdev Chowk,LRFW125510,False
CUST939188,Indira Buch,2000-12-18,Male,+918929899,abhiramgulati@example.com,"891, Ratta Road, Dibrugarh, Gujarat - 131825",CJFWP0029S,605494468367,555317364583560,Savings,Gangtok - Choudhry Ganj,VWHA593790,True
CUST911556,Girindra Bose,1960-01-29,Male,+916212311,jeevikakrishnamurthy@example.org,"H.No. 911, Mani Zila, Motihari, Tripura - 881964",HVYVC2793Z,904498131253,868445159564,Salary,Ranchi - Sidhu,FSRR270094,False
CUST889511,Qushi Tandon,1988-08-28,Female,0046297456,harini13@example.net,"37/068, Mammen Path, Vadodara, Chhattisgarh - 338812",ENZFJ7448A,182761483237,3771470023955,Salary,Purnia - Sha Street,GMHG248259,True
CUST884852,Thomas Wali,1979-01-22,Male,0976664056,ekta75@example.com,"902
Arora Nagar, Aligarh, Chhattisgarh - 326013",KEBSD2529E,799859325511,62581737266319,NRI,Jalgaon - Vaidya Zila,MWUQ830315,False
CUST402163,Leela Mane,1985-07-18,Female,1770488753,qraj@example.net,"H.No. 561, Parmar Ganj, Madhyamgram, Kerala - 023138",EMXBX8077T,556219974798,0042983521010,NRI,Eluru - Ghosh Road,YESN866082,True
CUST490111,Gaurangi Singhal,1981-08-30,Female,+912524432,devanshnazareth@example.org,"20
Kade Zila, Ozhukarai, Punjab - 459527",BCKZJ3693W,289693323207,450085349872,Salary,Ambarnath - Mallick Marg,INMS441806,True
